Exported,Product,Site Name,Tank Dip,Transaction Date/Time,Vehicle Number,Vehicle Registration,Vehicle Brand,Vehicle Model,Volume
False,Diesel,Europcar Gl. Kongevej,,2025-01-13 05:53:00,EB64630,,,,2.92000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-13 09:03:00,EC12713,,,,48.46000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-13 11:53:00,DJ66606,,,,15.37000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-13 13:30:00,DF45816,,,,1.04000
False,Diesel,Europcar Gl. Kongevej,,2025-01-13 15:36:00,EC99138,,,,3.95000
False,Diesel,Europcar Gl. Kongevej,,2025-01-14 05:54:00,ED23411,,,,8.86000
False,Diesel,Europcar Gl. Kongevej,,2025-01-14 06:11:00,DE80408,,,,4.61000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-14 11:28:00,DJ83907,,,,3.99000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-14 14:47:00,EF20834,,,,10.60000
False,Diesel,Europcar Gl. Kongevej,,2025-01-15 05:24:00,DE26234,,,,36.50000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-15 05:48:00,DL39030,,,,5.50000
False,Diesel,Europcar Gl. Kongevej,,2025-01-15 08:26:00,D48933,,,,10.01000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-15 11:02:00,EB2712,,,,10.01000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-15 11:53:00,DL16849,,,,35.15000
False,Diesel,Europcar Gl. Kongevej,,2025-01-15 13:15:00,DM3247,,,,8.02000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-15 15:00:00,DP58841,,,,5.26000
False,Diesel,Europcar Gl. Kongevej,,2025-01-15 15:18:00,DB63211,,,,8.35000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-15 16:50:00,DP92120,,,,5.64000
False,Diesel,Europcar Gl. Kongevej,,2025-01-15 17:06:00,DE80377,,,,4.16000
False,Diesel,Europcar Gl. Kongevej,,2025-01-16 05:57:00,DL52953,,,,5.15000
False,Diesel,Europcar Gl. Kongevej,,2025-01-16 07:10:00,CZ15321,,,,0.00000
False,Diesel,Europcar Gl. Kongevej,,2025-01-16 07:11:00,CZ15321,,,,12.63000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-16 08:59:00,EC57518,,,,3.97000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-16 09:04:00,DT28491,,,,3.82000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-16 12:20:00,DJ43501,,,,0.00000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-16 12:22:00,DJ43501,,,,8.86000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-16 12:31:00,DT22077,,,,47.00000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-16 12:35:00,DT85247,,,,22.59000
False,Diesel,Europcar Gl. Kongevej,,2025-01-16 15:46:00,EB64630,,,,2.50000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-16 17:04:00,EC19392,,,,15.02000
False,Diesel,Europcar Gl. Kongevej,,2025-01-17 06:49:00,DA61236,,,,4.51000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-17 11:21:00,DT26820,,,,9.91000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-17 14:37:00,EC36430,,,,40.23000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-17 16:58:00,EB83336,,,,7.85000
False,Diesel,Europcar Gl. Kongevej,,2025-01-18 06:40:00,DY57073,,,,9.16000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-18 09:26:00,DF45717,,,,15.03000
False,Diesel,Europcar Gl. Kongevej,,2025-01-18 09:53:00,DV53946,,,,22.59000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-18 09:57:00,EB70227,,,,3.96000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-18 10:20:00,EA55589,,,,6.51000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-19 06:32:00,DL16849,,,,7.78000
False,Diesel,Europcar Gl. Kongevej,,2025-01-19 06:54:00,DE80408,,,,1.10000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-19 08:53:00,EC36430,,,,6.33000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-20 05:20:00,DJ91849,,,,2.00000
False,Diesel,Europcar Gl. Kongevej,,2025-01-20 05:26:00,EC25426,,,,5.56000
False,Diesel,Europcar Gl. Kongevej,,2025-01-20 05:35:00,HHUC8753,,,,36.01000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-20 07:50:00,DT85254,,,,37.12000
False,Diesel,Europcar Gl. Kongevej,,2025-01-20 08:24:00,EB52428,,,,16.50000
False,Diesel,Europcar Gl. Kongevej,,2025-01-20 09:52:00,DJ97034,,,,4.02000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-20 10:38:00,DV41579,,,,4.11000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-20 11:31:00,EC12776,,,,4.35000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-20 16:29:00,DT32168,,,,25.03000
