Transaction Date/Time,Vehicle Number,Odometer,Product,Volume,Customer Price,Total Price
2025-12-15 11:28:00,CW73119,45810.0,Diesel,31.78000,25.00000,794.5
2025-12-15 11:14:00,EJ22604,20354.0,Benzin - Blyfri,29.69000,25.00000,742.25
2025-12-15 10:57:00,DR78352,37501.0,Benzin - Blyfri,13.62000,25.00000,340.5
2025-12-15 10:29:00,EL31496,698.0,Benzin - Blyfri,10.51000,25.00000,262.75
2025-12-15 10:27:00,EL31496,698.0,Benzin - Blyfri,0.00000,25.00000,0.0
2025-12-15 08:40:00,DV54839,50124.0,Diesel,24.36000,25.00000,609.0
2025-12-15 06:54:00,DE80374,65092.0,Diesel,9.64000,25.00000,241.0
2025-12-15 05:28:00,DD52036,80666.0,Diesel,2.80000,25.00000,70.0
2025-12-15 05:04:00,EL31498,113.0,Benzin - Blyfri,8.01000,25.00000,200.25
2025-12-15 04:57:00,EA61124,43542.0,Diesel,45.33000,25.00000,1133.25
2025-12-14 14:07:00,ED23412,20382.0,Diesel,44.57000,25.00000,1114.25
2025-12-14 11:16:00,EJ30991,9063.0,Benzin - Blyfri,9.01000,25.00000,225.25
2025-12-14 07:31:00,DV52983,41975.0,Diesel,12.04000,25.00000,301.0
2025-12-13 07:14:00,EL47009,5395.0,Diesel,46.82000,25.00000,1170.5
2025-12-12 17:05:00,EL14319,835.0,Benzin - Blyfri,2.09000,25.00000,52.25
2025-12-12 15:49:00,EK71555,13295.0,Benzin - Blyfri,10.03000,25.00000,250.75
2025-12-12 15:44:00,EC10884,26568.0,Diesel,29.05000,25.00000,726.25
2025-12-12 14:12:00,EB83306,37258.0,Benzin - Blyfri,21.39000,25.00000,534.75
2025-12-12 13:28:00,DJ39193,77826.0,Benzin - Blyfri,4.93000,25.00000,123.25
2025-12-12 13:22:00,EB27146,45063.0,Benzin - Blyfri,10.00000,25.00000,250.0
2025-12-12 12:14:00,EM52566,15704.0,Diesel,10.61000,25.00000,265.25
2025-12-12 12:09:00,EJ43121,13433.0,Benzin - Blyfri,35.22000,25.00000,880.5
2025-12-12 09:50:00,EA49987,52930.0,Diesel,32.35000,25.00000,808.75
2025-12-12 08:34:00,EH80221,18278.0,Benzin - Blyfri,12.18000,25.00000,304.5
2025-12-12 07:11:00,DT85236,42409.0,Benzin - Blyfri,17.41000,25.00000,435.25
2025-12-12 06:35:00,EH80227,7538.0,Benzin - Blyfri,10.88000,25.00000,272.0
2025-12-12 06:34:00,EH80227,7538.0,Benzin - Blyfri,0.00000,25.00000,0.0
2025-12-12 06:19:00,EC12711,39304.0,Benzin - Blyfri,37.08000,25.00000,927.0
2025-12-12 06:05:00,EA48479,35895.0,Benzin - Blyfri,6.14000,25.00000,153.5
2025-12-11 16:23:00,EL14280,43.0,Benzin - Blyfri,1.95000,25.00000,48.75
2025-12-11 15:57:00,DM62370,55569.0,Benzin - Blyfri,3.54000,25.00000,88.5
2025-12-11 15:23:00,EK74043,16927.0,Benzin - Blyfri,2.27000,25.00000,56.75
2025-12-11 12:57:00,DV29956,57813.0,Benzin - Blyfri,7.97000,25.00000,199.25
2025-12-11 11:47:00,EB14952,36495.0,Benzin - Blyfri,18.74000,25.00000,468.5
2025-12-11 11:12:00,DM80860,94336.0,Benzin - Blyfri,15.03000,25.00000,375.75
2025-12-11 09:49:00,EL47023,6.0,Benzin - Blyfri,56.00000,25.00000,1400.0
2025-12-11 09:44:00,EL47021,14.0,Benzin - Blyfri,50.10000,25.00000,1252.5
